ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,uptrend,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,price_wash_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
NDN,HNX,Bất động sản,917.0,6.4,3.0,2.9,3.0,5.0,0.0,1.3,,59.4,19.4,8.6,0.3,13.0,0.8,121.0,5.9,,Giá nằm dưới SMA(20),-87.24,5.97,-83.42,-11.97,28.96,504.35,0.0,7.16,9.39,8.3,60.0,82.0,76.0,82.0,2.47,Mua < Bán,12.8,47.3,1.5,75.0,,Trung tính,-44.0,0.0,0.0,987.0,MACD Histogram < 0 và tăng dần,0.4,0.3,0.3,0.2,,Giá nằm dưới SMA(50),,,,,,Trung tính,-7.25,3.23,,0.0,3.23,50.12,6.03,Không,85.0,8.0,5.9,70.7,-39.0,-65.7,307.0,38.3,-11.7,-42.2,95.8,1521.0,Giá nằm trên SMA(100),,0.0,527.1,688.0,611.5,784.2,8.6,1.0,,,,,,,5.5,,,,,,,987.0,27.2,-2.3,-0.2,10.9
NDP,UPCOM,Y tế,248.0,9.1,2.8,1.7,3.5,4.8,0.0,0.1,,,16.7,,,21.2,1.9,,2.2,,,17.46,3.18,14.1,-2.41,48.21,17.82,0.4,0.0,0.01,0.01,13.0,12.0,63.0,66.0,,,,,0.03,38.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,55.0,,,,,,,,,,,,,,,,,,,48.8,,,,,,,,4.7,,,,,,,1184.0,,,,
NDT,UPCOM,Hàng cá nhân & Gia dụng,76.0,-66.2,,1.1,,1.4,-0.1,0.8,,58.1,11.8,31.4,2.5,-1.7,2.0,7.7,0.0,Giá cắt xuống SMA(5),Giá cắt xuống SMA(20),-5.26,4.14,,,6.25,,15.5,0.04,0.02,0.01,,,,,0.06,,4.5,38.6,0.0,,,Bán mạnh,0.0,,1.0,-2840.0,MACD Histogram < 0 và giảm dần,2.6,4.4,6.8,3.5,Giá cắt xuống SMA(10),Giá nằm dưới SMA(50),,,,Tín hiệu bán,,Trung tính,-7.84,-10.0,,-8.16,-10.0,-19.64,2.0,Không,45.0,-932.2,-72.9,-44.4,-10.3,-22.2,,,-27.4,-87.6,40.6,51.5,Giá nằm dưới SMA(100),,-8.16,5.0,2.9,1.9,3.7,53.7,1.0,,,,,,,-4.4,,,"{'vi': 'Giá cắt xuống SMA(200)', 'en': 'Price cross below SMA(200)'}",,,,-2840.0,-7.6,-7.0,-8.1,-8.6
NDW,UPCOM,"Điện, nước & xăng dầu khí đốt",489.0,8.2,,2.3,,4.6,0.4,0.1,,,83.3,,,15.4,1.3,12.6,12.0,,,2.8,3.46,0.97,5.2,37.18,15.07,0.1,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,928.0,,,,,,,,,,,,,,,,,,,,,Có,10.0,2.6,2.5,31.8,3.9,1.4,-2.0,-5.3,,,,,,,,,,,,86.5,0.0,8.1,3.4,1.2,11.0,76.0,1.8,6.4,,,,12.94,50.22,388.0,928.0,,,,
NDX,HNX,Xây dựng và Vật liệu,58.0,2.3,,1.2,,3.4,0.0,0.8,,,29.8,,,22.1,0.5,26.1,0.0,,,-57.47,-14.7,-96.18,-54.55,10.98,10.8,0.3,0.0,0.02,0.02,,,,,,,,,0.74,,,,0.0,0.0,0.0,272.0,,,,,,,,,,,,,,,,,,,,,Không,40.0,-61.1,-17.5,2.6,86.9,-65.7,,-70.1,,,,,,,,,,,,49.0,0.0,,,,,,,1.2,,,,,,,272.0,,,,
NED,UPCOM,Xây dựng và Vật liệu,275.0,7.7,2.7,2.5,3.5,3.6,-0.1,0.6,,47.7,52.4,11.7,1.5,7.4,0.6,6.1,0.0,,Giá cắt xuống SMA(20),19.68,-15.08,710.46,10.93,65.1,49.31,0.3,0.35,0.25,0.53,77.0,19.0,,,0.4,,6.8,42.5,0.08,48.0,,Bán,0.0,,1.0,918.0,MACD Histogram > 0 và tăng dần,1.6,2.0,1.0,0.7,Giá cắt xuống SMA(10),Giá nằm dưới SMA(50),,,,Tín hiệu bán,,Trung tính,0.0,-2.86,,-1.31,-2.86,4.48,-11.43,Có,50.0,-36.1,-14.0,37.2,1.3,6.1,36.7,112.6,-12.8,-49.9,29.7,86.8,Giá nằm dưới SMA(100),,-1.31,39.0,31.0,58.2,90.4,15.6,0.0,52.4,104.4,0.1,15.0,30.0,3.1,5.2,,,,93.84,-54.85,492.0,918.0,-2.1,-0.9,-3.0,-4.0
NET,HNX,Hàng cá nhân & Gia dụng,1548.0,33.7,2.7,4.1,3.0,4.6,-0.1,0.4,,75.0,50.8,7.5,0.7,8.4,2.4,5.3,9.1,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-8.68,7.39,15.8,20.56,23.03,7.89,0.3,0.18,0.35,1.03,31.0,15.0,40.0,13.0,0.16,,69.1,38.9,0.86,25.0,,Bán,4.0,1.0,,8271.0,MACD Histogram > 0 và tăng dần,1.1,0.5,0.2,0.2,Giá cắt lên SMA(10),Giá nằm dưới SMA(50),,,,,,Trung tính,1.77,-10.28,,0.44,-10.28,-11.76,73.57,Có,12.0,16.0,21.9,185.2,-3.4,-9.5,-17.2,-40.3,-19.4,-25.0,6.3,1890.3,Giá nằm dưới SMA(100),,0.44,2.1,4.8,11.8,9.9,96.7,1.0,15.3,6.4,-9.8,32.0,406.0,1.0,17.6,,,,-0.86,41.17,643.0,8271.0,-6.2,-1.6,-4.7,-5.5
NFC,HNX,Hóa chất,903.0,42.9,2.8,3.6,,4.2,0.7,0.1,,,55.6,,,8.6,3.2,5.5,12.4,,,25.85,13.85,58.96,36.92,26.63,13.51,0.0,0.39,0.67,0.4,23.0,61.0,53.0,98.0,,,,,0.06,59.0,,,0.0,0.0,0.0,6676.0,,,,,,,,,,,,,,,,,,,,,Có,20.0,20.0,43.1,105.0,7.9,25.4,283.1,76.2,,,,,,,,,,,,65.0,1.0,-47.0,-6.1,0.1,27.0,197.0,0.8,29.9,,,,169.19,1257.65,279.0,6676.0,,,,
NGC,UPCOM,Thực phẩm và đồ uống,3.0,211.4,,1.0,,3.2,-0.1,0.1,,,,,,-0.6,-0.6,-39.3,0.0,,,-52.12,-16.75,,,5.54,,-8.7,0.0,0.0,0.0,,,,,,,,,13.42,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,45.0,-1390.0,-33.6,-5.3,,,,,,,,,,,,,,,,56.8,0.0,,,,,,,-3.7,,,,,,,-2285.0,,,,
NHA,HSX,Xây dựng và Vật liệu,1006.0,15.8,2.2,2.5,3.1,3.6,-0.2,1.2,,36.2,84.4,4.8,0.3,11.6,1.7,10.2,0.0,,Giá nằm dưới SMA(20),119.26,-1.16,969.12,-11.8,39.57,28.87,0.4,14.83,17.55,14.82,28.0,17.0,22.0,13.0,6.32,Mua < Bán,20.7,40.1,0.81,20.0,Chờ mua,Bán mạnh,-27.0,,2.0,1788.0,MACD Histogram < 0 và giảm dần,0.5,0.4,0.5,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-8.41,-9.41,,-0.72,-9.41,-11.75,210.13,Có,55.0,-20.9,-23.3,86.9,294.2,24.0,136.7,-49.8,-28.4,-69.7,18.9,4784.6,Giá nằm dưới SMA(100),,-0.72,625.5,762.6,616.6,875.9,,1.0,29.1,90.7,0.2,28.0,97.0,3.2,10.9,,,,49.37,29.38,593.0,1788.0,-6.7,-5.3,-10.4,-8.1
NHC,HNX,Xây dựng và Vật liệu,65.0,3.0,2.1,1.3,,4.2,-0.1,0.1,,,,,,39.4,1.1,,0.0,,,264.26,-14.27,,-46.19,12.6,3.93,0.3,0.0,0.0,0.0,,,,,,,,,14.45,,,,0.0,0.0,0.0,546.0,,,,,,,,,,,,,,,,,,,,,Có,45.0,,-13.8,1.7,91.0,135.4,9.0,311.1,,,,,,,,,,,,49.6,0.0,-8.4,7.1,0.1,1.0,24.0,0.7,1.8,,,,418.86,-87.92,57.0,546.0,,,,
NHH,HSX,Hóa chất,1265.0,7.3,2.7,2.7,3.0,4.4,-0.2,0.9,,38.9,82.4,3.6,0.3,12.4,0.9,4.5,0.0,,Giá nằm dưới SMA(20),2.83,11.21,-9.58,-13.3,17.72,11.13,0.2,1.31,1.53,1.52,31.0,29.0,53.0,7.0,0.46,,11.2,34.1,0.34,30.0,,Bán mạnh,-41.0,,1.0,902.0,MACD Histogram < 0 và tăng dần,0.4,0.3,0.4,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-2.61,-6.67,,-0.44,-6.67,-19.73,-68.57,Không,30.0,-7.7,-4.6,101.9,26.2,27.9,108.0,-52.1,-20.8,-81.0,15.4,39.8,Giá nằm dưới SMA(100),,-0.44,107.9,129.1,112.8,149.2,70.9,1.0,,,,,,,4.7,,,,,,,902.0,-5.1,-4.3,-7.1,-3.6
NHP,UPCOM,Hàng & Dịch vụ Công nghiệp,8.0,-6.5,,1.0,,3.0,0.0,0.0,,,,,,-1.1,0.1,,0.0,,,-59.4,,,,,,0.4,0.0,0.0,0.0,99.0,49.0,25.0,97.0,,,,,0.2,68.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,90.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-4.3,,,,,,,-537.0,,,,
NHT,HSX,Hàng cá nhân & Gia dụng,242.0,8.0,2.6,1.7,3.5,3.6,-0.1,0.3,,,66.3,,,11.2,0.9,7.1,0.0,,,13.74,9.47,4216.43,-20.08,16.81,,0.3,0.02,0.02,0.02,22.0,76.0,45.0,57.0,,,,,3.01,50.0,,,0.0,0.0,0.0,905.0,,,,,,,,,,,,,,,,,,,,,Không,35.0,-35.9,-16.4,21.7,-6.5,-25.1,-183.2,,,,,,,,,,,,,,0.0,,,,,,,3.9,,,,,,,905.0,,,,
NHV,UPCOM,Tài nguyên Cơ bản,,,,1.5,,4.0,0.0,-0.1,,,,,,,,,,,,,,122.0,,,,,0.0,0.0,0.0,,,,,,,,,0.46,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJC,UPCOM,Hàng cá nhân & Gia dụng,,,,1.9,,1.8,0.1,-0.5,,,83.3,,,,,,,,,,,88.89,,,,,0.0,0.0,0.0,,,,,,,,,0.05,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,65.0,,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,
NKG,HSX,Tài nguyên Cơ bản,6937.0,3.6,2.2,2.5,3.6,2.6,-0.1,1.1,,38.5,94.5,11.8,0.5,28.9,0.9,17.0,0.0,,Giá nằm dưới SMA(20),10.83,11.1,285.84,36.23,7.09,2.4,0.9,175.08,217.57,202.72,14.0,7.0,68.0,27.0,103.23,Mua < Bán,15.5,34.7,4.88,29.0,,Bán mạnh,-4833.0,,2.0,537.0,MACD Histogram < 0 và giảm dần,0.7,0.5,0.6,0.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,-11.17,-14.13,,-2.52,-14.13,-2.7,248.09,Không,75.0,-91.3,-38.4,240.3,-32.7,-22.7,-58.3,-56.4,-24.0,-55.8,40.3,1155.1,Giá nằm dưới SMA(100),,-2.52,9468.7,12190.4,11148.9,16731.0,18.7,13.0,,,,,,,1.6,,,,,,,537.0,4.7,-9.4,-11.0,-2.4
NLG,HSX,Bất động sản,18292.0,7.0,3.1,3.1,4.3,4.6,-0.1,1.2,,45.2,66.0,4.6,0.7,27.8,1.9,12.3,1.5,,Giá nằm trên SMA(20),126.19,23.1,7.06,-15.71,42.95,12.86,0.5,128.76,196.19,160.46,78.0,86.0,65.0,43.0,104.85,Mua < Bán,37.7,52.6,46.13,68.0,Chờ bán,Mua,6026.0,0.0,0.0,1356.0,MACD Histogram > 0 và tăng dần,0.9,0.6,0.7,0.7,,Giá nằm dưới SMA(50),,,,,,Trung tính,-2.16,5.5,,0.0,5.5,7.59,86.37,Không,80.0,-18.2,-11.8,657.7,206.2,530.9,-31.4,,-17.4,-33.4,61.9,469.5,Giá nằm trên SMA(100),,0.0,2929.4,4728.2,3841.5,4016.2,31.0,26.0,,,,,,,2.3,,,,,,,1356.0,13.0,2.6,-0.6,1.7
NLS,UPCOM,"Điện, nước & xăng dầu khí đốt",,,,2.8,,2.8,0.2,0.1,,,,,,,,,,,,,,59.8,24.41,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,15.0,,,,,,,,,,,,,,,,,,,61.2,,,,,,,,,,,,,,,,,,,
NNC,HSX,Xây dựng và Vật liệu,1149.0,25.9,3.1,2.8,2.7,5.0,0.4,0.4,,48.9,39.7,12.7,0.4,10.0,2.4,7.9,4.4,,Giá nằm trên SMA(20),59.18,-11.52,67.97,-12.6,50.53,42.44,0.1,2.55,2.19,1.67,59.0,88.0,96.0,94.0,1.43,Mua < Bán,52.3,59.2,3.29,84.0,,Mua,-48.0,,1.0,5228.0,MACD Histogram < 0 và giảm dần,0.6,0.7,0.9,0.6,Giá cắt xuống SMA(10),Giá nằm trên SMA(50),,,,,,Trung tính,-0.95,7.17,,-0.57,7.17,139.84,40.18,Có,25.0,7.5,14.1,114.6,50.3,39.7,163.1,74.5,-5.8,-3.9,164.7,2646.2,Giá nằm trên SMA(100),,-0.57,43.8,39.4,31.1,45.8,67.8,1.0,9.6,21.1,0.1,43.0,100.0,3.2,21.1,,,,117.06,-9.02,485.0,5228.0,49.9,1.2,6.6,25.6
NNT,UPCOM,"Điện, nước & xăng dầu khí đốt",,,3.0,2.6,3.5,3.4,0.2,-0.1,,,36.4,,,,,,,,,,,8.87,10.77,,,,0.0,0.0,0.01,100.0,99.0,95.0,94.0,,,,,0.14,97.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,5.6,,,,,,,,,,,,,,,,,,,95.5,,,,,,,,,,,,,,,,,,,
NO1,HSX,Hàng & Dịch vụ Công nghiệp,166.0,5.1,,1.2,,4.4,-0.3,0.8,,61.0,68.9,11.7,1.0,10.3,0.5,3.3,0.0,,Giá nằm dưới SMA(20),31.21,,6.65,,7.64,1.67,0.3,0.32,0.48,0.61,,,,,0.34,,6.91,29.8,7.19,,,Bán mạnh,13.0,,1.0,672.0,MACD Histogram < 0 và tăng dần,1.4,0.8,0.6,0.4,,Giá nằm dưới SMA(50),,,,,,Vào vùng quá bán,-6.11,-8.48,,-0.29,-8.48,-26.57,,Không,55.0,43.5,8.0,16.1,303.0,-22.6,19.6,-59.0,-48.0,-48.0,6.3,11.9,Giá nằm dưới SMA(100),,-0.29,36.6,61.1,78.9,121.6,6.1,0.0,,,,,,,2.2,,,,,,,672.0,-10.7,-5.8,-7.7,-7.1
NOS,UPCOM,Hàng & Dịch vụ Công nghiệp,19.0,4.9,,1.0,,2.8,0.3,-0.1,,29.0,4.3,467.3,31.1,-0.1,0.0,-42.0,0.0,,Giá nằm trên SMA(20),-1.15,-10.32,,,,,-0.6,0.0,0.0,0.0,16.0,25.0,99.0,98.0,0.02,,0.9,83.7,0.0,60.0,,Mua mạnh,0.0,0.0,0.0,-12823.0,MACD Histogram > 0 và giảm dần,90.0,62.3,8.6,8.0,,Giá nằm trên SMA(50),,,,,,Trung tính,0.0,50.0,,0.0,50.0,15.68,125.0,Không,35.0,-16494.9,-1192.7,-250.4,-38.2,-38.3,,,-25.0,-92.2,50.0,350.0,Giá nằm trên SMA(100),,0.0,0.2,0.3,1.9,2.0,68.6,3.0,,,,,,,-71.2,,,,,,,-12823.0,8.9,8.4,21.9,24.1
NQB,UPCOM,"Điện, nước & xăng dầu khí đốt",174.0,5.9,2.7,2.4,,3.8,0.2,0.0,,,,,,15.4,0.9,11.8,5.0,,,3.5,8.25,10.85,18.3,19.84,10.3,0.1,0.0,0.0,0.0,44.0,53.0,32.0,25.0,,,,,0.0,38.0,,,0.0,0.0,0.0,656.0,,,,,,,,,,,,,,,,,,,,,Có,4.6,-5.4,-3.8,11.3,2.0,0.3,-18.5,-30.6,,,,,,,,,,,,93.2,0.0,5.1,5.2,-0.6,4.0,38.0,1.3,4.5,,,,-27.22,72.94,192.0,656.0,,,,
NQN,UPCOM,"Điện, nước & xăng dầu khí đốt",605.0,9.0,2.6,2.0,3.2,3.6,0.0,-0.2,,100.0,22.2,77.1,0.6,10.3,0.9,9.7,2.1,,Giá nằm dưới SMA(20),3.85,6.61,7.68,1.84,15.54,6.23,0.5,0.01,0.0,0.0,61.0,17.0,55.0,47.0,0.0,,11.9,18.8,0.0,45.0,,Bán mạnh,0.0,1.0,,1150.0,MACD Histogram < 0 và tăng dần,0.6,1.1,2.2,3.6,,Giá nằm dưới SMA(50),,,,,,Trung tính,-15.0,-15.0,,0.21,-15.0,-11.93,-33.67,Có,4.8,-40.1,-21.3,58.5,10.5,7.5,15.4,-0.7,-24.5,-64.0,3.5,220.1,Giá nằm dưới SMA(100),,0.21,0.7,0.4,0.2,0.1,96.2,1.0,5.5,-17.2,3.2,15.0,236.0,0.7,5.2,,,,3.26,17.82,656.0,1150.0,-12.1,-12.3,-12.9,-13.2
NRC,HNX,Bất động sản,630.0,-11.7,2.2,1.4,3.0,3.0,0.1,1.0,,63.4,46.0,6.2,1.0,-5.0,0.6,-47.0,0.0,,Giá cắt lên SMA(20),11.24,-60.46,,,88.29,20.99,0.3,8.01,9.02,10.78,2.0,2.0,2.0,2.0,9.45,Mua < Bán,6.8,59.1,3.78,2.0,,Mua,-2290.0,2.0,,-1353.0,MACD Histogram < 0 và tăng dần,1.5,1.2,0.9,1.1,Giá cắt lên SMA(10),Giá nằm trên SMA(50),,,,Tín hiệu mua,,Trung tính,1.49,13.33,,4.62,13.33,78.95,-43.21,Không,80.0,-46.1,-15.3,-125.3,,28.7,,-75.2,-11.7,-78.6,88.9,151.8,Giá nằm trên SMA(100),,4.62,951.8,1222.0,1535.9,1256.2,9.8,1.0,,,,,,,-6.3,,,,,,,-1353.0,25.9,3.0,9.9,16.5
NS2,UPCOM,"Điện, nước & xăng dầu khí đốt",1420.0,2.7,2.2,2.5,3.4,3.2,0.3,0.4,,8.0,49.4,11.4,1.1,87.3,2.4,9.7,1.0,,Giá nằm dưới SMA(20),33.96,11.99,29.11,8.34,52.73,7.0,1.0,0.05,0.06,0.06,32.0,2.0,2.0,81.0,0.06,,25.9,39.8,0.0,29.0,,Bán mạnh,0.0,1.0,,286.0,MACD Histogram < 0 và giảm dần,1.6,1.3,1.3,0.2,,Giá nằm dưới SMA(50),,,,,,Trung tính,-8.08,-18.47,,3.5,-18.47,48.68,190.51,Có,3.4,-34.8,-31.1,16.3,2.5,6.4,58.1,-67.4,-41.8,-33.1,93.8,387.6,Giá nằm dưới SMA(100),,3.5,1.5,2.0,1.9,12.9,96.6,2.0,3.8,246.4,-1.5,14.0,205.0,1.8,1.1,,,,-58.63,27.63,594.0,286.0,21.6,-10.0,-20.1,-6.5
NSC,HSX,Thực phẩm và đồ uống,1390.0,15.2,2.9,2.8,3.4,4.2,0.0,0.3,,73.2,21.7,79.9,2.0,6.5,0.9,,2.6,,Giá cắt xuống SMA(20),20.3,10.03,-2.5,1.54,19.04,5.39,0.5,0.18,0.27,0.16,21.0,72.0,36.0,41.0,0.39,Mua > Bán,79.1,45.3,9.2,42.0,,Bán mạnh,22.0,,1.0,12222.0,MACD Histogram < 0 và giảm dần,4.0,1.7,2.8,3.1,,Giá cắt xuống SMA(50),,,,Tín hiệu bán,,Trung tính,-1.13,0.64,,-1.13,0.64,5.18,49.66,Có,20.0,,-18.9,214.8,-0.9,5.7,-26.9,9.2,-13.6,-9.9,12.4,1693.9,Giá nằm dưới SMA(100),,-1.13,1.2,2.9,1.8,1.6,86.9,2.0,-26.2,-56.3,-0.8,27.0,493.0,0.6,8.8,,,,-7.98,10.2,1466.0,12222.0,-2.7,-1.1,-0.8,-2.2
NSG,UPCOM,Hóa chất,,,,1.0,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,5.0,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,
NSH,HNX,Tài nguyên Cơ bản,91.0,0.9,,1.3,,1.8,-0.1,1.0,,76.0,61.2,38.0,0.6,43.3,0.4,13.4,0.0,,Giá nằm dưới SMA(20),-5.2,1.56,107.68,1.92,3.38,0.13,2.2,0.25,0.23,0.21,,,,,0.17,,4.4,41.6,0.92,,,Bán mạnh,3.0,,1.0,102.0,MACD Histogram < 0 và tăng dần,0.8,0.8,0.8,0.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,-4.35,-4.35,,-2.22,-4.35,-10.2,120.0,Có,50.0,-563.3,-57.1,2.1,6.3,42.2,-0.3,-9.0,-36.2,-79.0,22.2,300.0,Giá nằm dưới SMA(100),,-2.22,48.9,47.2,45.6,92.5,24.6,1.0,-8.2,-47.4,10.0,0.0,299.0,0.1,0.2,,,,4.32,15.67,240.0,102.0,-3.9,-3.7,-5.4,-2.6
NSL,UPCOM,"Điện, nước & xăng dầu khí đốt",,,,2.7,,3.2,0.2,-0.1,,,,,,,,,,,,,,1.82,-2.71,,,,0.0,0.0,0.0,,,,,,,,,0.48,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Có,20.0,,,,,,,,,,,,,,,,,,,85.7,,-7.5,382.2,,6.0,34.0,,,,,,,,133.0,,,,,
NSS,UPCOM,Thực phẩm và đồ uống,,,,1.1,,3.4,0.0,0.0,,,,,,,,,,,,,,-90.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,10.0,,,,,,,,,,,,,,,,,,,84.3,,,,,,,,,,,,,,,,,,,
NST,HNX,Hàng cá nhân & Gia dụng,150.0,13.5,,1.7,3.4,3.4,0.2,0.2,,100.0,76.6,7.9,2.8,5.9,0.8,5.3,10.9,Giá cắt lên SMA(5),Giá cắt lên SMA(20),23.07,-3.06,62.8,4.41,13.9,2.79,0.6,0.06,0.04,0.02,,,,,0.11,Mua < Bán,13.4,56.2,3.73,,,Mua mạnh,3.0,1.0,,2270.0,MACD Histogram > 0 và tăng dần,2.8,4.4,7.2,7.1,,Giá nằm trên SMA(50),,,Tín hiệu mua,Tín hiệu mua,Tín hiệu mua,Trung tính,-2.9,7.2,,4.69,7.2,31.62,114.18,Có,40.0,-76.7,-22.0,25.4,12.0,69.3,65.6,75.3,-11.2,-32.2,46.3,455.1,Giá nằm trên SMA(100),,4.69,3.2,2.0,1.3,1.3,84.4,0.0,2.5,-13.0,0.1,9.0,312.0,0.2,5.3,,,,46.97,148.59,192.0,2270.0,18.4,3.5,5.4,8.7
NT2,HSX,"Điện, nước & xăng dầu khí đốt",6636.0,15.1,3.1,1.4,3.8,4.6,0.0,0.8,,53.6,57.0,32.0,1.1,10.2,1.5,6.0,3.6,,Giá nằm trên SMA(20),-6.92,-4.93,-82.48,-35.7,10.61,11.11,0.3,33.53,30.21,34.28,96.0,84.0,82.0,71.0,38.2,Mua > Bán,23.05,58.7,11.86,83.0,Chờ bán,Mua mạnh,2372.0,1.0,,2265.0,MACD Histogram > 0 và tăng dần,1.4,1.4,1.3,1.1,,Giá nằm trên SMA(50),,,Tín hiệu mua,,,Trung tính,4.69,4.46,,1.32,4.46,30.04,45.24,Có,30.0,-19.4,-15.5,652.0,12.6,-4.8,383.5,167.0,-4.0,-20.2,48.9,2283.1,Giá nằm trên SMA(100),,1.32,1163.4,1173.1,1254.3,1571.1,82.9,8.0,-7.4,-34.3,0.1,214.0,1928.0,0.9,7.0,,,,162.4,3.02,4508.0,2265.0,17.6,3.1,5.4,12.5
NTB,UPCOM,Bất động sản,16.0,35.8,,1.0,,2.8,0.0,0.0,,,,,,-0.1,0.0,-182.1,0.0,,,,,,,,,-0.5,0.0,0.0,0.0,89.0,49.0,40.0,69.0,,,,,0.3,62.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,85.0,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,-33.1,,,,,,,-14156.0,,,,
NTF,UPCOM,Y tế,,,,1.3,,3.2,0.2,0.0,,,,,,,,,,,,,,-3.0,0.68,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,15.0,,,,,,,,,,,,,,,,,,,89.8,,,,,,,,,,,,,,,,,,,
NTH,HNX,"Điện, nước & xăng dầu khí đốt",610.0,37.0,3.2,3.5,3.1,5.0,0.1,-0.1,,,31.0,,,9.2,3.3,8.4,9.1,,,-7.08,0.79,-7.07,6.26,49.57,44.42,0.0,0.03,0.02,0.05,98.0,98.0,90.0,62.0,,,,,0.13,87.0,,,0.0,0.0,0.0,6154.0,,,,,,,,,,,,,,,,,,,,,Có,60.0,4.5,14.0,66.5,35.7,20.6,71.1,30.2,,,,,,,,,,,,,1.0,-18.5,-32.8,0.3,12.0,26.0,4.7,34.4,,,,30.48,186.81,187.0,6154.0,,,,
NTL,HSX,Bất động sản,2281.0,-0.8,2.7,3.6,3.0,3.4,-0.1,1.1,,45.5,49.0,7.2,0.4,-152.9,1.3,-53.0,6.5,,Giá cắt xuống SMA(20),57.69,11.53,70.27,5.81,,329.02,0.0,65.73,59.08,37.61,9.0,80.0,15.0,15.0,36.04,Mua < Bán,18.7,47.3,12.25,30.0,,Bán,-114.0,,2.0,-122.0,MACD Histogram > 0 và giảm dần,0.6,0.7,1.0,1.0,Giá cắt xuống SMA(10),Giá cắt xuống SMA(50),,,,Tín hiệu bán,,Trung tính,-1.58,2.47,,-3.36,2.47,-12.62,211.64,Có,75.0,22.6,26.0,-14.9,2.6,-99.6,255.2,-99.8,-16.9,-29.7,52.0,1824.6,Giá nằm dưới SMA(100),,-3.36,2969.5,2842.2,1902.2,1991.8,5.0,2.0,-37.1,775.6,1.5,13.0,4.0,65.7,-0.7,,,,,,1735.0,-122.0,5.2,-0.8,-2.8,-2.8
