ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,uptrend,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,price_wash_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
DPP,UPCOM,Y tế,,,,2.3,,2.8,0.2,0.1,,,,,,,,,,,,,,7.18,8.92,,,,0.0,0.0,0.0,,,,,,,,,0.01,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,30.0,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,
DPR,HSX,Hóa chất,3223.0,10.1,2.8,3.1,3.8,4.2,-0.1,1.0,,73.9,28.3,17.6,1.1,12.7,1.2,9.1,5.4,,Giá cắt lên SMA(20),17.61,3.46,25.45,-6.65,33.02,26.15,0.0,13.65,13.4,12.81,88.0,41.0,23.0,33.0,14.81,Mua > Bán,37.1,50.8,2.61,46.0,Chờ mua,Mua,-610.0,4.0,,2932.0,MACD Histogram > 0 và tăng dần,1.3,1.2,1.2,0.9,,Giá nằm dưới SMA(50),,,Tín hiệu mua,Tín hiệu mua,,Trung tính,1.64,-4.13,,1.5,-4.13,1.08,116.59,Không,45.0,10.7,7.4,254.7,-13.4,8.6,-27.9,25.2,-26.6,-25.8,14.8,1189.5,Giá nằm dưới SMA(100),Tăng nóng vào phiên hôm trước,1.5,302.8,329.8,322.4,471.8,65.2,4.0,,,,,,,5.7,,,,,,,2932.0,-4.0,0.8,-1.4,-2.3
DPS,UPCOM,Tài nguyên Cơ bản,9.0,-1.9,,1.0,,2.6,0.0,0.0,,,,,,-9.9,0.2,2319.7,0.0,,,-76.95,,,,4.73,-36.31,0.6,0.0,0.0,0.0,57.0,61.0,49.0,100.0,,,,,0.34,67.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,100.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-1.1,,,,,,,-201.0,,,,
DQC,HSX,Hàng cá nhân & Gia dụng,300.0,-13.8,2.6,1.2,2.9,3.6,-0.2,0.7,,25.0,24.4,21.7,0.4,-2.6,0.4,-5.4,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-5.28,-0.28,,,24.45,2.03,0.2,0.04,0.07,0.07,89.0,68.0,3.0,72.0,0.02,,10.85,41.9,0.58,58.0,,Bán,-1.0,2.0,,-4158.0,MACD Histogram < 0 và tăng dần,0.6,0.3,0.3,0.2,,Giá nằm dưới SMA(50),,,,,,Trung tính,-3.56,-7.26,,1.88,-7.26,-19.03,-31.11,Không,45.0,-32.3,-8.1,-114.6,-9.3,0.9,,26083.4,-19.6,-82.9,31.7,405.2,Giá nằm dưới SMA(100),,1.88,3.5,6.0,6.2,10.7,27.4,0.0,,,,,,,-8.9,,,,,,,-4158.0,-2.7,-2.8,-6.0,-6.4
DRC,HSX,Ô tô và phụ tùng,2340.0,7.4,2.1,1.8,3.5,3.0,-0.3,0.9,,52.4,92.1,1.5,0.9,16.6,1.2,19.3,5.2,,Giá nằm dưới SMA(20),3.96,3.91,-5.97,-6.59,13.44,3.25,0.5,3.76,4.7,4.08,54.0,17.0,10.0,2.0,3.36,,15.15,29.5,3.54,21.0,Chờ mua,Bán mạnh,-10.0,,1.0,911.0,MACD Histogram < 0 và tăng dần,1.1,0.8,0.9,0.5,,Giá nằm dưới SMA(50),,,,,,Vào vùng quá bán,-3.19,-9.28,,-0.98,-9.28,-26.6,31.38,Có,50.0,-40.9,-23.1,140.7,1.4,1.0,-12.7,-58.6,-34.1,-44.9,14.6,2212.7,Giá nằm dưới SMA(100),,-0.98,202.9,279.9,255.5,493.2,59.5,3.0,-10.4,25.1,-0.3,40.0,1234.0,0.5,3.5,,,,-47.55,-38.18,1902.0,911.0,-13.7,-4.4,-8.6,-9.1
DRG,UPCOM,Hóa chất,1324.0,12.5,2.9,3.3,3.1,4.0,0.0,0.9,,50.0,50.0,6.1,0.1,6.5,0.8,5.9,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),22.47,4.38,185.38,30.74,21.44,47.3,0.2,0.04,0.02,0.03,85.0,30.0,47.0,36.0,0.0,,8.5,41.0,0.0,50.0,,Bán,0.0,0.0,0.0,1298.0,MACD Histogram < 0 và tăng dần,0.1,0.2,0.2,0.1,,Giá nằm dưới SMA(50),,,,,,Trung tính,-3.41,-6.74,,0.54,-6.74,8.76,-29.26,Không,1.1,-12.9,-7.2,202.3,17.5,-35.9,1837.0,,-40.8,-63.6,26.9,163.7,Giá nằm dưới SMA(100),,0.54,4.4,2.6,2.6,4.1,98.9,2.0,,,,,,,8.3,,,,,,,1298.0,-6.0,-3.7,-4.2,-3.6
DRH,HSX,Bất động sản,254.0,-15.5,2.4,1.0,2.7,3.0,0.0,0.7,,38.2,76.1,15.2,0.3,-1.2,0.2,-43.0,0.0,,Giá nằm dưới SMA(20),-59.41,-60.39,,,,,0.6,1.0,1.21,1.62,80.0,91.0,4.0,39.0,0.38,Mua > Bán,2.05,24.3,2.2,54.0,,Bán mạnh,-133.0,,2.0,-1660.0,MACD Histogram > 0 và tăng dần,0.4,0.4,0.3,0.2,,Giá nằm dưới SMA(50),,,,,,Trung tính,-6.82,-29.07,,-1.44,-29.07,7.89,-61.82,Không,95.0,-283.9,-18.0,-205.4,93.1,11.8,,,-48.2,-95.9,15.8,145.7,Giá nằm dưới SMA(100),,-1.44,438.3,537.4,683.8,979.7,2.0,1.0,,,,,,,-5.1,,,,,,,-1660.0,-17.3,-10.4,-26.7,-31.2
DRI,UPCOM,Hóa chất,831.0,25.1,3.1,3.6,3.2,4.6,-0.2,1.1,,60.2,30.7,13.8,1.7,5.4,1.2,3.6,7.4,,Giá nằm trên SMA(20),6.21,-2.67,47.98,21.71,35.5,21.17,0.1,5.29,4.94,3.88,97.0,61.0,12.0,37.0,7.22,,11.5,53.8,0.73,52.0,,Mua,22.0,3.0,,2121.0,MACD Histogram > 0 và tăng dần,1.8,1.7,2.0,1.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,4.29,-1.16,,1.97,-1.16,4.23,118.12,Có,55.0,-0.1,-0.1,155.2,28.6,57.5,-2.4,131.0,-29.8,-33.6,47.2,372.9,Giá nằm dưới SMA(100),,1.97,358.2,386.4,319.2,504.2,45.7,1.0,87.2,78.3,0.1,39.0,184.0,1.3,21.1,,,,52.57,1026.89,671.0,2121.0,-6.8,2.5,-1.9,-5.6
DRL,HSX,"Điện, nước & xăng dầu khí đốt",483.0,44.0,2.8,3.1,3.6,4.2,0.0,0.1,,15.7,25.6,15.2,3.1,10.1,4.5,8.4,9.2,,Giá nằm dưới SMA(20),-13.36,0.31,-22.86,-4.27,52.55,37.4,0.0,0.36,0.29,0.28,33.0,50.0,78.0,30.0,0.75,,50.8,20.2,2.86,48.0,,Bán mạnh,-2.0,,6.0,5046.0,MACD Histogram < 0 và giảm dần,3.6,3.6,3.0,2.8,,Giá nằm dưới SMA(50),,,,,,Trung tính,-2.87,-3.42,,-0.39,-3.42,-9.49,47.01,Có,70.0,1.1,4.1,47.9,6.2,28.2,-10.7,23.0,-10.0,-14.9,0.4,1000.4,Giá nằm dưới SMA(100),,-0.39,4.1,4.1,5.0,5.2,30.4,0.0,-20.1,-41.8,3.0,8.0,21.0,4.8,37.9,,,,3.32,-9.02,108.0,5046.0,-6.0,-2.6,-4.7,-5.8
DS3,HNX,Hàng & Dịch vụ Công nghiệp,64.0,16.5,,2.5,,4.2,0.0,0.6,,100.0,25.4,24.0,0.2,4.3,0.7,5.5,0.0,,Giá nằm dưới SMA(20),72.86,0.67,212.04,2.04,27.3,15.77,0.4,0.0,0.01,0.01,,,,,0.0,,6.0,42.1,0.12,,,Bán,0.0,0.0,0.0,1396.0,MACD Histogram < 0 và tăng dần,0.3,0.2,0.1,0.0,,Giá nằm dưới SMA(50),,,,,,Trung tính,-3.23,-6.25,,0.0,-6.25,7.14,65.53,Không,50.0,-59.3,-23.6,14.9,427.1,66.9,1875.0,93.4,-17.8,-59.4,27.7,197.1,Giá nằm dưới SMA(100),,0.0,0.6,1.1,1.9,28.2,6.9,0.0,,,,,,,9.6,,,,,,,1396.0,5.3,-4.1,-5.8,-0.3
